smiles,order,ma_exact,ma_heur
[H]C(=O)[C@]1([H])[N@@H+]2C([H])([H])C([H])([H])[C@]2([H])C1([H])[H],1,5.0,8.17
[H]C#C[C@]1(O[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],1,5.0,6.67
[H][N-]C1N(C([H])=O)C([H])([H])C1([H])[H],1,5.0,6.31
[H]C([H])([H])C(=O)C(=O)C(=O)C([H])([H])[H],2,4.0,4.81
[H]C(=O)[C@]1(C#N)N([H])C([H])([H])C1([H])[H],1,6.0,6.31
[H]C([H])([H])[C@]1([H])C(=O)[C@]2(C([H])([H])[H])O[C@]12[H],1,5.0,8.0
[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],1,4.0,5.7
[H]C([H])([H])[C@@]1([H])[C@]2([H])[C@]3([H])O[C@@]1([H])C([H])([H])[C@@]32[H],1,4.0,9.67
[H][N-][C+]([H])O[C@@]12C([H])([H])C([H])([H])[C@]1([H])C2([H])[H],1,6.0,8.09
[H]OC([H])([H])C1(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],1,5.0,6.96
[H]C([H])([H])[NH+](C([H])([H])[H])C1(C#N)C([H])([H])C1([H])[H],1,6.0,6.75
[H]C([H])([H])O[C@@]([H])(C#N)[C@]1([H])OC1([H])[H],1,5.0,6.41
[H]N1C([H])([H])[C@@]12C([H])([H])[C@]1([H])O[C@]21C([H])([H])[H],1,5.0,9.59
[H]O[C@@]1([H])[C@@]([H])(C#N)[C@@]1([H])N([H])C([H])([H])[H],1,6.0,6.5
[H]C#C[C@]12C([H])([H])O[C@]([H])(C1([H])[H])C2([H])[H],2,5.0,8.0
[H]Oc1nc([H])c([H])c(N([H])[H])n1,2,6.0,6.2
[H]C([H])([H])[C@]1(C([H])([H])C#N)OC1([H])[H],1,4.0,6.31
[H]C(=O)N(C([H])=O)/C([H])=N/C([H])([H])[H],2,5.0,4.81
[H]O[C@@]1([H])[C@@]([H])(C([H])=O)[C@@]1(O[H])C([H])([H])[H],1,5.0,6.5
[H]C([H])([H])C#C[C@@]12OC([H])([H])[C@]1([H])C2([H])[H],1,6.0,8.0
[H]C([H])([H])OC([H])([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],1,5.0,5.32
[H]O[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[H],1,5.0,6.96
[H]N1C(=O)C([H])([H])[C@@]12C([H])([H])[C@]2([H])C([H])([H])[H],1,5.0,8.09
[H]C1([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O1,2,4.0,6.59
[H][N-]C1OC([H])([H])C([H])=C1C([H])([H])C([H])([H])[H],1,6.0,6.67
[H]C([H])([H])C#CC([H])([H])C1([H])C([H])([H])C1([H])[H],2,5.0,6.59
[H]C(=O)[C@@]([H])([NH2+][C+]([H])OC([H])([H])[H])C([H])([H])[H],1,6.0,5.25
[H]C(=O)N1C([H])([H])C([H])=C(C([H])([H])[H])C1([H])[H],2,6.0,6.59
[H]OC([H])([H])C(=O)OC([H])([H])C([H])([H])O[H],1,4.0,5.0
[H]c1c(N([H])[H])c([H])n2c1C([H])([H])C2([H])[H],2,5.0,8.0
[H]C1([H])C([H])([H])C12C([H])([H])C([H])([H])[C@@]1([H])O[C@@]21[H],1,5.0,9.67
[H]O[C@@]1([H])[C@@]2([H])C([H])([H])C([H])([H])[C@@]12O[H],1,4.0,7.91
[H]C1=NC([H])([H])C(=O)[C@@]2([H])N1C2([H])[H],1,6.0,7.81
[H]/N=C(/N([H])C(=O)N([H])[H])C([H])([H])O[H],1,6.0,4.91
[H]N1[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]1(C#N)C([H])([H])[H],1,5.0,6.67
[H]N1C([H])([H])[C@]1([H])C([H])([H])C#CC#N,1,6.0,6.31
[H]C([H])([H])C#C[C@]1([H])[C@]2([H])OC([H])([H])[C@]12[H],1,6.0,8.0
[H]C(=O)C1=C([H])[C@@]2([H])N([H])[C@@]2([H])C1([H])[H],1,7.0,7.91
[H]N1[C@@]2([H])[C@]1([H])[C@@]([H])(C([H])([H])[H])O[C@@]2([H])C([H])([H])[H],2,5.0,8.25
[H]C(=O)[C@]([H])(C([H])([H])[H])[C@]1(C([H])([H])[H])OC1([H])[H],1,5.0,6.67
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],1,6.0,5.25
[H]O[C@]([H])(C(=O)C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],1,5.0,6.67
[H]OC([H])([H])[C@@]1(C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],1,4.0,6.75
[H]C#C[C@]12O[C@@]1([H])[C@@]1([H])O[C@]12[H],1,5.0,9.08
[H]C1([H])C([H])([H])C12O[C@@]1([H])C([H])([H])[C@@]21[H],1,5.0,9.41
[H]C([H])([H])OC(=O)C#CC([H])([H])C([H])([H])[H],2,6.0,5.0
[H]N1C([H])([H])[C@]2(C#N)[C@@]1([H])[C@]2([H])C([H])([H])[H],1,5.0,8.0
[H]O/N=C(\C([H])([H])[H])[C@]1([H])O[C@]1([H])C([H])([H])[H],1,6.0,6.59
[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],1,3.0,6.41
[H]C([H])(C#N)[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[H],1,5.0,6.75
[H]C([H])([H])C(=O)[C@@]1([H])C([H])([H])[C@@]2([H])C([H])([H])[C@]21[H],1,4.0,8.17
[H]O[C@]([H])(C#CC([H])([H])[H])C([H])([H])C([H])=O,1,6.0,5.0
[H]C(=O)C([H])([H])[N@H+](C([H])([H])[H])C([H])([H])C#N,1,5.0,5.09
[H]N1C([H])([H])[C@]2(C#N)N([H])C([H])([H])[C@]12[H],1,4.0,7.91
[H]O[C@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])C([H])=O,1,5.0,6.67
[H]C#C[C@]12[C@]3([H])C([H])([H])[C@@]1([H])[C@@]2([H])C3([H])[H],2,5.0,9.5
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C([H])=C([H])C1([H])[H],2,5.0,8.17
[H]N([H])/C(C#N)=N\C([H])([H])C([H])([H])C([H])([H])[H],1,5.0,5.09
[H]c1nc(N([H])C([H])([H])[H])c(C([H])([H])[H])o1,1,7.0,6.5
[H]C(=O)C([H])([H])[C@@]1([H])O[C@@]1([H])C([H])=O,1,5.0,6.31
